,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
0,Portfolio Managers See Overseas Stocks Climbing Further By George Anders Staff Reporter of The Wall Street Journal ---- Staff Reporter of The Wall Street Journal,1984-01-02 07:00:00.000,Global Equity Growth,Overseas Market Risks,Global Growth
1,Four Big Banks Had Profit Gains In 4th Period '83 --- Chase Was Up 10% in Quarter; Hanover 3%; Irving 10%: And First Chicago 15% --- A Wall Street Journal News Roundup,1984-01-17 07:00:00.000,Bank Profitability,Bank Profitability,Bank Profitability
2,World Brief: U.S. and Common Market Sign Accord to Share Non-Confidential Research on Mines Minerals,1984-01-17 07:00:00.000,International Collaboration,Intellectual Property Risks,International Collaboration
3,Speaking of Business: Consumers May Be Becoming a Little Too Confident By Lindley H. Clark Jr.,1984-01-17 07:00:00.000,Consumer Confidence,Consumer Overconfidence,Consumer Confidence
4,Dollar Moves Up On Rise in GNP; Gold Weakens --- Output Figure Reassures Traders That U.S. Unit Is Still on an Upswing ---- By Stephen Grover Staff Reporter of The Wall Street Journal,1984-01-23 07:00:00.000,Currency Strength,Currency Appreciation,Currency Strength
5,GM Is Considering A Consolidation Of Its Car Divisions By Dale Buss Staff Reporter of The Wall Street Journal ---- Staff Reporter of The Wall Street Journal,1984-01-02 07:00:00.000,Industry Consolidation,Industry Consolidation,Industry Consolidation
6,Conflicting Crop Reports Prompt Agency To Reassign 7 Aides Reconsider Methods ---- By Albert R. Karr Staff Reporter of The Wall Street Journal,1984-01-30 07:00:00.000,Agricultural Market Volatility,Market Volatility,Market Volatility
7,Tosco Expects to Post An Operating Loss For the 4th Quarter,1984-01-27 07:00:00.000,Earnings Warning,Earnings Decline,Profitability Uncertainty
8,Politics '84: Policy Debate Within GOP to Heat Up Whether or Not Reagan Seeks Reelection ---- By Dennis Farney Staff Reporter of The Wall Street Journal,1984-01-27 07:00:00.000,Incumbent Reelection Risk,Incumbent Risk,Incumbent Reelection
9,Egypt Plans to Raise Price For One Type of Crude Oil --- A Wall Street Journal News Roundup,1984-01-27 07:00:00.000,Oil Price Increase,Oil Price Increase,Oil Price Increase
10,White House to Report That El Salvador Makes Sufficient Human-Rights Progress By Robert S. Greenberger Staff Reporter of The Wall Street Journal ---- Staff Reporter of The Wall Street Journal,1984-01-13 07:00:00.000,Human Rights Progress,Human Rights Progress,Human Rights Progress
11,Trafalgar House PLC Agrees to Take Over Oil Exploration Firm Special to The Wall Street Journal ---- Special to The Wall Street Journal,1984-01-05 07:00:00.000,Mergers and Acquisitions,Overleveraged Mergers,Mergers & Acquisitions
12,Defense Deputy Thayer Resigns Amid Charges --- Sec Expected to File Suit Today on Aide's Activities While Chairman of LTV ---- By Richard L. Hudson and Gerald F. Seib Staff Reporters of The Wall Street Journal,1984-01-04 07:00:00.000,Political instability,Corruption Scandal,Government Oversight
13,MGF Debt Holders Get Two New Issues in Swap For Senior Debentures,1984-01-02 07:00:00.000,Debt Restructuring,Refinancing Risk,Debt Restructuring
14,BL's Truck Unit Plans to Lay Off 1 050 of Its Workers By Lawrence Ingrassia Staff Reporter of The Wall Street Journal ---- Staff Reporter of The Wall Street Journal,1984-01-20 07:00:00.000,Labor Market Contraction,Labor Market Weakness,Labor Market Flexibility
15,People Are Buying Larger New Homes According to Study --- Recovery Interest Rate Drop Cited for Reversing Trend Toward Smaller Units ---- By Robert Guenther Staff Reporter of The Wall Street Journal,1984-01-16 07:00:00.000,Housing Market Trends,Housing Bubble,Housing Market Expansion
16,Brock Hotel Says It Sold 15 Pizza Restaurants To Franchisees in '83,1984-01-11 07:00:00.000,Franchise Transition,Franchise Risk,Franchise Expansion
17,U.S. Currency Continues to Sag; Gold Declines $1 --- Dollar Recovered Some Of Its Lost Strength Late in the Trading Day ---- By Stephen Grover and Anne Mackay-Smith Staff Reporters of The Wall Street Journal,1984-01-17 07:00:00.000,Currency Fluctuation,Dollar Weakness,Currency Fluctuation
18,Merrill Lynch Posts $42 Million Loss for 4th Quarter While American Express Had Deficit of $21.9 Million --- Merrill Lynch Says Results Include Charge Related To Baldwin-United Corp. ---- By John Andrew and Scott McMurray Staff Reporters of The Wall Street Journal,1984-01-24 07:00:00.000,Banking Sector Losses,Banking Sector Risk,Market Volatility
19,NRC to Decide by June About Restarting Undamaged Unit 1 at Three Mile Island ---- By Arlen J. Large Staff Reporter of The Wall Street Journal,1984-01-30 07:00:00.000,Nuclear Restart Risk,Nuclear Restart Risks,Regulatory Uncertainty
20,Manager's Journal: The Risks and Advantages of Cooperative Ventures By Robert J. Conrads and Amir Mahini,1984-01-16 07:00:00.000,Partnership Risks,Partnership Risks,Collaborative Growth
